id,title,release_date,release_year,runtime,budget,revenue,vote_average,vote_count,popularity,genres,profit,roi,primary_genre,era
348892,Bajrangi Bhaijaan,2015-07-17,2015,159,13000000,150000000,7.794,519,7.8577,"['Comedy', 'Drama', 'Action']",137000000,10.538461538461538,Comedy,pre_covid
266294,Sisters,2015-12-18,2015,118,30000000,105000000,5.967,1430,7.767,['Comedy'],75000000,2.5,Comedy,pre_covid
293863,The Age of Adaline,2015-04-16,2015,112,25000000,65663276,7.477,6953,7.6754,"['Romance', 'Fantasy', 'Drama']",40663276,1.62653104,Romance,pre_covid
238713,Spy,2015-05-06,2015,120,65000000,235666219,6.835,6248,7.6163,"['Action', 'Comedy', 'Crime']",170666219,2.6256341384615385,Action,pre_covid
258509,Alvin and the Chipmunks: The Road Chip,2015-12-17,2015,92,90000000,233755553,6.024,1723,7.5571,"['Family', 'Comedy', 'Music', 'Adventure', 'Animation']",143755553,1.5972839222222222,Family,pre_covid
263472,Knock Knock,2015-06-26,2015,99,10000000,6341684,5.388,3390,7.525,"['Horror', 'Thriller']",-3658316,-0.3658316,Horror,pre_covid
157544,The Vatican Tapes,2015-07-23,2015,91,13000000,1784763,5.361,803,7.4869,"['Thriller', 'Horror']",-11215237,-0.8627105384615384,Thriller,pre_covid
274479,Joy,2015-12-24,2015,124,60000000,101134059,6.55,4212,7.4052,"['Drama', 'Comedy']",41134059,0.68556765,Drama,pre_covid
270303,It Follows,2015-02-04,2015,101,2300000,23374076,6.588,6722,7.3606,"['Horror', 'Mystery']",21074076,9.162641739130434,Horror,pre_covid
339669,Blinky Bill the Movie,2015-08-21,2015,93,12800000,4634032,5.607,42,7.3545,"['Family', 'Animation', 'Adventure']",-8165968,-0.63796625,Family,pre_covid
159824,Hotel Transylvania 2,2015-09-21,2015,89,80000000,473200000,6.8,5983,7.3287,"['Animation', 'Comedy', 'Family', 'Fantasy']",393200000,4.915,Animation,pre_covid
330764,The Brand New Testament,2015-09-02,2015,114,8700000,15709652,6.639,1721,7.1287,"['Comedy', 'Fantasy']",7009652,0.8057071264367817,Comedy,pre_covid
318846,The Big Short,2015-12-11,2015,131,28000000,133346506,7.358,9534,7.0873,"['Comedy', 'Drama']",105346506,3.762375214285714,Comedy,pre_covid
257211,The Intern,2015-09-23,2015,121,35000000,194564672,7.227,7093,7.0858,['Comedy'],159564672,4.558990628571428,Comedy,pre_covid
370964,I Am Dragon,2015-12-03,2015,110,18000000,10495305,7.214,400,7.0579,"['Fantasy', 'Romance']",-7504695,-0.4169275,Fantasy,pre_covid
312221,Creed,2015-11-25,2015,133,37000000,173600000,7.407,7762,7.0027,"['Drama', 'Action']",136600000,3.691891891891892,Drama,pre_covid
302429,Strange Magic,2015-01-23,2015,99,100000000,13603453,7.177,535,6.9968,"['Music', 'Animation', 'Family', 'Fantasy']",-86396547,-0.86396547,Music,pre_covid
238615,Self/less,2015-07-10,2015,117,26000000,31807156,6.412,3221,6.8985,"['Science Fiction', 'Action', 'Thriller']",5807156,0.22335215384615384,Science Fiction,pre_covid
198184,Chappie,2015-03-04,2015,120,49000000,104399548,6.786,8260,6.8573,"['Crime', 'Action', 'Science Fiction']",55399548,1.1306030204081632,Crime,pre_covid
326215,Ooops! Noah Is Gone...,2015-03-26,2015,85,6000000,22783699,6.421,330,6.8208,"['Animation', 'Adventure', 'Comedy', 'Family']",16783699,2.797283166666667,Animation,pre_covid
274167,Daddy's Home,2015-12-25,2015,96,50000000,242786137,6.294,3337,6.7766,['Comedy'],192786137,3.85572274,Comedy,pre_covid
331588,The Great Gilly Hopkins,2015-10-05,2015,99,5000000,97798,6.574,243,6.7238,"['Comedy', 'Drama', 'Family']",-4902202,-0.9804404,Comedy,pre_covid
254128,San Andreas,2015-05-27,2015,114,110000000,473990832,6.244,8838,6.6026,"['Action', 'Drama', 'Thriller']",363990832,3.3090075636363636,Action,pre_covid
250124,The Diary of a Teenage Girl,2015-08-07,2015,102,2000000,1477002,6.577,770,6.588,"['Drama', 'Romance', 'Comedy']",-522998,-0.261499,Drama,pre_covid
